prog_no;Cycle;Prog Type;Obs #;Label;Obs type;Target;TOI;RA (deg);Dec (deg);Gmag;Kmag;Teff (K);Planet;Period (d);Radius (Re);Radius (RJ);Teq (K);;;
2319;1;GO;3;TOI-178b;transit;TOI-178;178;7.302399714;-30.45431131;11.1523;8.656;4316;TOI-178 b;1.914558;1.152;0.103;1039;;;
2319;1;GO;102;TOI-178g;transit;TOI-178;178;7.302415663;-30.45431931;11.1523;8.656;4316;TOI-178 g;20.7095;2.87;0.256;470;;;
2334;1;GO;1;;transit;LHS 1140;256;11.24937074;-15.27544696;12.6706;8.821;2988;LHS 1140 b;24.73694;1.635;0.146;213;;;
2334;1;GO;2;;transit;LHS 1140;256;11.24936455;-15.27543574;12.6706;8.821;2988;LHS 1140 b;24.73694;1.635;0.146;213;;;
2347;1;GO;1;K2-141b (ph1);phase;K2-141;;350.9173023;-1.189127448;10.7217;8.401;4570;K2-141 b;0.2803244;1.51;0.135;2103;;;
2358;1;GO;30;Clone of Obs 3;transit;WD 1856+534;1690;284.4165544;53.50890998;16.958;15.548;4710;WD 1856+534 b;1.4079405;10.4;0.928;159;;;
2372;1;GO;1;K2-18 b G235H;transit;K2-18;5555;172.5599483;7.587514455;12.4154;8.899;3457;K2-18 b;32.939623;2.37;0.211;282;;;
2372;1;GO;2;K2-18 b G235H;transit;K2-18;5555;172.5601408;7.587830556;12.4154;8.899;3457;K2-18 b;32.939623;2.37;0.211;282;;;
2372;1;GO;4;K2-18 b G395H;transit;K2-18;5555;172.5601408;7.587830556;12.4154;8.899;3457;K2-18 b;32.939623;2.37;0.211;282;;;
2372;1;GO;5;K2-18 b G395H;transit;K2-18;5555;172.5601408;7.587830556;12.4154;8.899;3457;K2-18 b;32.939623;2.37;0.211;282;;;
2372;1;GO;6;K2-18 b G395H;transit;K2-18;5555;172.5601408;7.587830556;12.4154;8.899;3457;K2-18 b;32.939623;2.37;0.211;282;;;
2372;1;GO;7;K2-18 b G395H - Repeat of observation 3;transit;K2-18;5555;172.5601408;7.587830556;12.4154;8.899;3457;K2-18 b;32.939623;2.37;0.211;282;;;
2420;1;GO;1;Transit 1;transit;TRAPPIST-1;;346.628216;-5.044396806;15.6451;10.296;2566;TRAPPIST-1 c;2.421937;1.097;0.098;341;;;
2420;1;GO;3;Transit 3;transit;TRAPPIST-1;;346.6285534;-5.044569857;15.6451;10.296;2566;TRAPPIST-1 c;2.421937;1.097;0.098;341;;;
2420;1;GO;4;Transit 4;transit;TRAPPIST-1;;346.6285602;-5.044573389;15.6451;10.296;2566;TRAPPIST-1 c;2.421937;1.097;0.098;341;;;
2420;1;GO;5;Transit 2-WOPR COPY;transit;TRAPPIST-1;;346.6263921;-5.043461111;15.6451;10.296;2566;TRAPPIST-1 c;2.421937;1.097;0.098;341;;;
2437;1;GO;1;WASP-127b - G379H;transit;WASP-127;675;160.5588896;-3.834889568;10.054;8.641;5620;WASP-127 b;4.17806203;14.695;1.311;1421;;;
2454;1;GO;1;;transit;Kepler-51;;296.4797625;49.93763362;14.6777;13.197;6018;Kepler-51 b;45.154;7.1;0.633;561;;;
2488;1;GO;1;HD80606b;transit;HD 80606;;140.6571296;50.60379885;8.82008;7.316;5561;HD 80606 b;111.4367;11.994;1.07;405;;;
2498;1;GO;1;HIP67522b_transit;transit;HIP 67522;6551;207.5259197;-40.83594492;9.63261;8.164;5675;HIP 67522 b;6.959503;10.07;0.898;;;;
2507;1;GO;1;WD;transit;WD 1856+534;1690;284.4165699;53.50890891;16.958;15.548;4710;WD 1856+534 b;1.4079405;10.4;0.928;159;;;
2508;1;GO;1;Science;phase;GJ 367;731;146.120056;-45.78025407;9.15159;5.78;3522;GJ 367 b;0.3219225;0.699;0.062;1368;;;
2512;1;GO;7;TOI-562.01 (T1);transit;GJ 357;562;144.0078138;-21.66738119;9.88036;6.475;3505;GJ 357 b;3.9306;1.2;0.107;519;;;
2512;1;GO;17;TOI-402.01 (T1);transit;HD 15337;402;36.86769907;-27.63658927;8.85598;7.044;5125;HD 15337 b;4.75615;1.64;0.146;1003;;;
2512;1;GO;18;TOI-402.02 (T1);transit;HD 15337;402;36.86769861;-27.63659043;8.85598;7.044;5125;HD 15337 c;17.1784;2.39;0.213;644;;;
2512;1;GO;19;TOI-402.02 (T2);transit;HD 15337;402;36.86769645;-27.63659595;8.85598;7.044;5125;HD 15337 c;17.1784;2.39;0.213;644;;;
2512;1;GO;11;TOI-134.01 (T1);transit;L 168-9;134;350.0271734;-60.06601319;10.2316;7.082;3794;L 168-9 b;1.4015;1.39;0.124;980;;;
2512;1;GO;12;TOI-134.01 (T2);transit;L 168-9;134;350.0271693;-60.06601401;10.2316;7.082;3794;L 168-9 b;1.4015;1.39;0.124;980;;;
2512;1;GO;13;TOI-134.01 (T3);transit;L 168-9;134;350.0271809;-60.06601169;10.2316;7.082;3794;L 168-9 b;1.4015;1.39;0.124;980;;;
2512;1;GO;15;TOI-175.01 (T1);transit;L 98-59;175;124.5334326;-68.3152252;10.5976;7.101;3412;L 98-59 c;3.6906745;1.34;0.12;515;;;
2512;1;GO;16;TOI-175.01 (T2);transit;L 98-59;175;124.5334319;-68.31522425;10.5976;7.101;3412;L 98-59 c;3.6906745;1.34;0.12;515;;;
2512;1;GO;21;TOI-455.01 (T1);transit;LTT 1445 A;455;45.46247792;-16.59449444;10.0469;6.496;3340;LTT 1445 A b;5.35876;1.18;0.105;564;;;
2512;1;GO;1;TOI 260.01 (T1);transit;TOI-260;;4.77293147;-9.966851362;0;0;0;0;13.4759;0;0;0;;;
2512;1;GO;2;TOI 260.01 (T2);transit;TOI-260;;4.772931089;-9.966854452;0;0;0;0;13.4759;0;0;0;;;
2512;1;GO;3;TOI-776.01 (T1);transit;TOI-776;776;178.5786886;-37.55367223;10.7409;7.615;3709;TOI-776 c;15.6653;2.02;0.18;416;;;
2512;1;GO;4;TOI-776.01 (T2);transit;TOI-776;776;178.5786923;-37.55367395;10.7409;7.615;3709;TOI-776 c;15.6653;2.02;0.18;416;;;
2512;1;GO;5;TOI-776.02 (T1);transit;TOI-776;776;178.5786955;-37.5536754;10.7409;7.615;3709;TOI-776 b;8.24661;1.85;0.165;515;;;
2512;1;GO;6;TOI-776.02 (T2);transit;TOI-776;776;178.5786915;-37.55367358;10.7409;7.615;3709;TOI-776 b;8.24661;1.85;0.165;515;;;
2512;1;GO;8;TOI-836.01 (T1);transit;TOI-836;836;225.0794139;-24.45425452;9.40475;6.804;4552;TOI-836 c;8.59545;2.587;0.231;656;;;
2512;1;GO;9;TOI-836.02 (T1);transit;TOI-836;836;225.0794112;-24.45425485;9.40475;6.804;4552;TOI-836 b;3.81673;1.704;0.152;875;;;
2512;1;GO;10;TOI-836.02 (T2);transit;TOI-836;836;225.0794106;-24.45425493;9.40475;6.804;4552;TOI-836 b;3.81673;1.704;0.152;875;;;
2571;1;GO;1;Kepler-51d;transit;Kepler-51;;296.4797625;49.93763346;14.6777;13.197;6018;Kepler-51 d;130.194;9.7;0.865;394;;;
2589;1;GO;1;TRAPPIST-1b;eclipse;TRAPPIST-1;;346.6282208;-5.044399273;15.6451;10.296;2566;TRAPPIST-1 b;1.510826;1.116;0.1;399;;;
2589;1;GO;2;TRAPPIST-1b;eclipse;TRAPPIST-1;;346.6282219;-5.044399824;15.6451;10.296;2566;TRAPPIST-1 b;1.510826;1.116;0.1;399;;;
2589;1;GO;3;TRAPPIST-1c;eclipse;TRAPPIST-1;;346.6282935;-5.044436532;15.6451;10.296;2566;TRAPPIST-1 c;2.421937;1.097;0.098;341;;;
2589;1;GO;4;TRAPPIST-1c;eclipse;TRAPPIST-1;;346.6285551;-5.044570741;15.6451;10.296;2566;TRAPPIST-1 c;2.421937;1.097;0.098;341;;;
2589;1;GO;6;TRAPPIST-1g;transit;TRAPPIST-1;;346.6282199;-5.044398772;15.6451;10.296;2566;TRAPPIST-1 g;12.352446;1.129;0.101;198;;;
2589;1;GO;7;TRAPPIST-1g;transit;TRAPPIST-1;;346.6283252;-5.044452811;15.6451;10.296;2566;TRAPPIST-1 g;12.352446;1.129;0.101;198;;;
2594;1;GO;1;G395M Transit;transit;HATS-72;294;339.0255759;-17.00050185;12.0725;9.764;4656.1;HATS-72 b;7.3279474;8.097;0.722;739;;;
2667;1;GO;51;HD209_MIRI_transit;transit;HD 209458;5972;330.7950918;18.88420174;7.50866;6.308;6091;HD 209458 b;3.52474859;15.581;1.39;1477;;;
2708;1;GO;1;Visit 1;eclipse;LTT 1445 A;455;45.46170298;-16.59502866;10.0469;6.496;3340;LTT 1445 A b;5.35876;1.18;0.105;564;;;
2708;1;GO;2;Visit 1;eclipse;LTT 1445 A;455;45.46166836;-16.59505268;10.0469;6.496;3340;LTT 1445 A b;5.35876;1.18;0.105;564;;;
2708;1;GO;3;Visit 1;eclipse;LTT 1445 A;455;45.46160228;-16.59509854;10.0469;6.496;3340;LTT 1445 A b;5.35876;1.18;0.105;564;;;
2722;1;GO;1;G395H;transit;K2-18;5555;172.5599705;7.587553222;12.4154;8.899;3457;K2-18 b;32.939623;2.37;0.211;282;;;
2722;1;GO;2;MIRI;transit;K2-18;5555;172.5601296;7.587813889;12.4154;8.899;3457;K2-18 b;32.939623;2.37;0.211;282;;;
2722;1;GO;3;NIRISS;transit;K2-18;5555;172.5599623;7.587539893;12.4154;8.899;3457;K2-18 b;32.939623;2.37;0.211;282;;;
2759;2;GTO;1;transit;transit;TOI-270;270;68.41608042;-51.95739444;11.6306;8.251;3506;TOI-270 d;11.379573;2.133;0.19;388;;;
2783;2;DD;1;Transit observation;transit;WASP-39;5675;217.3266075;-3.444499075;11.8867;10.202;5400;WASP-39 b;4.055259;14.235;1.27;1121;;;
2950;2;GO;1;HAT-P-1b transit LRS;transit;HAT-P-1;1388;344.4453633;38.67491944;10.1786;8.858;5980;HAT-P-1 b;4.46529976;14.785;1.319;1323;;;
2950;2;GO;3;HAT-P-11b transit LRS;transit;HAT-P-11;1144;297.7101763;48.08186389;9.15098;7.009;4780;HAT-P-11 b;4.88780244;4.36;0.389;829;;;
2950;2;GO;2;HD106315c transit LRS;transit;HD 106315;;183.4724742;-0.3934361111;8.88841;7.853;6327;HD 106315 c;21.05704;4.35;0.388;888;;;
2961;2;GO;1;MIRI-LRS_WASP121b;eclipse;WASP-121;495;107.6002313;-39.09726944;10.3746;9.374;6776;WASP-121 b;1.27492504;19.649;1.753;2450;;;
3077;2;GO;1;phasecurve_b+c;phase;TRAPPIST-1;;346.6285708;-5.044579606;15.6451;10.296;2566;TRAPPIST-1 b;1.510826;1.116;0.1;399;;;
3077;2;GO;2;phasecurve_b+c;partial phase;TRAPPIST-1;;346.6285717;-5.044580055;15.6451;10.296;2566;TRAPPIST-1 b;1.510826;1.116;0.1;399;;;
3171;2;GO;6;HATS-6;transit;HATS-6;468;88.14680144;-19.03160911;14.3601;11.224;3724;HATS-6 b;3.3252725;11.187;0.998;712;;;
3171;2;GO;7;HATS-6;transit;HATS-6;468;88.14680143;-19.03160908;14.3601;11.224;3724;HATS-6 b;3.3252725;11.187;0.998;712;;;
3171;2;GO;9;HATS-75;transit;HATS-75;552;60.94933042;-25.40891389;14.9033;11.584;3790.4;HATS-75 b;2.7886556;9.909;0.884;769;;;
3171;2;GO;10;HATS-75;transit;HATS-75;552;60.94933042;-25.40891389;14.9033;11.584;3790.4;HATS-75 b;2.7886556;9.909;0.884;769;;;
3171;2;GO;19;HATS-75;transit;HATS-75;552;60.94933042;-25.40891389;14.9033;11.584;3790.4;HATS-75 b;2.7886556;9.909;0.884;769;;;
3171;2;GO;13;TOI-3714;transit;TOI-3714;3714;69.55240319;39.45783336;14.3107;10.852;3660;TOI-3714 b;2.154849;11.321;1.01;767;;;
3171;2;GO;14;TOI-3714;transit;TOI-3714;3714;69.55223083;39.45830833;14.3107;10.852;3660;TOI-3714 b;2.154849;11.321;1.01;767;;;
3171;2;GO;15;TOI-3714;transit;TOI-3714;3714;69.55223083;39.45830833;14.3107;10.852;3660;TOI-3714 b;2.154849;11.321;1.01;767;;;
3171;2;GO;4;TOI-3757;transit;TOI-3757;3757;91.00371;55.02016389;14.1321;11.152;3913;TOI-3757 b;3.438753;12;1.071;758;;;
3171;2;GO;5;TOI-3757;transit;TOI-3757;3757;91.00371;55.02016389;14.1321;11.152;3913;TOI-3757 b;3.438753;12;1.071;758;;;
3171;2;GO;1;TOI-3984;transit;TOI-3984 A;3984;226.33741;36.78679167;14.6718;11.052;3476;TOI-3984 A b;4.353326;7.9;0.71;568;;;
3171;2;GO;2;TOI-3984;transit;TOI-3984 A;3984;226.33741;36.78679167;14.6718;11.052;3476;TOI-3984 A b;4.353326;7.9;0.71;568;;;
3171;2;GO;3;TOI-3984;transit;TOI-3984 A;3984;226.33741;36.78679167;14.6718;11.052;3476;TOI-3984 A b;4.353326;7.9;0.71;568;;;
3171;2;GO;16;TOI-5205;transit;TOI-5205;5205;313.7707871;24.36109666;14.9317;11.006;3430;TOI-5205 b;1.630757;11.6;1.03;732;;;
3171;2;GO;17;TOI-5205;transit;TOI-5205;5205;313.7707872;24.36109673;14.9317;11.006;3430;TOI-5205 b;1.630757;11.6;1.03;732;;;
3171;2;GO;18;TOI-5205;transit;TOI-5205;5205;313.7707872;24.36109679;14.9317;11.006;3430;TOI-5205 b;1.630757;11.6;1.03;732;;;
3171;2;GO;11;TOI-5293;transit;TOI-5293 A;5293;355.8286796;-2.045094444;14.9816;11.639;3586;TOI-5293 A b;2.930289;11.9;1.06;676;;;
3171;2;GO;12;TOI-5293;transit;TOI-5293 A;5293;355.8286796;-2.045094444;14.9816;11.639;3586;TOI-5293 A b;2.930289;11.9;1.06;676;;;
3231;2;GO;1;Phase Curve;partial phase;LTT 9779;193;358.6688767;-37.628225;9.60006;8.016;5443;LTT 9779 b;0.792052;4.72;0.421;1974;;;
3235;2;GO;1;PH2b;transit;PH2;;289.7636213;51.96268333;12.5811;11.116;5629;PH2 b;282.5255;10.12;0.903;298;;;
3263;2;GO;1;Phase curve;phase;TOI-1685;1685;68.59407668;43.03683033;12.2956;8.758;3434;TOI-1685 b;0.6691406;1.7;0.152;1078;;;
3279;2;GO;1;Transit;transit;WASP-189;;225.6867321;-3.031486111;6.55369;6.06;8000;WASP-189 b;2.724033;18.147;1.619;2636;;;
3315;2;GO;1;Transit 1;transit;K2-22;;169.4827046;2.619036111;14.9537;11.924;3879;K2-22 b;0.381073;2.3;0.205;1502;;;
3315;2;GO;2;Transit 2;transit;K2-22;;169.4827046;2.619036111;14.9537;11.924;3879;K2-22 b;0.381073;2.3;0.205;1502;;;
3315;2;GO;3;Phase Curve;partial phase;K2-22;;169.4827046;2.619036111;14.9537;11.924;3879;K2-22 b;0.381073;2.3;0.205;1502;;;
3385;2;GO;1;TOI-1130c;transit;TOI-1130;1130;286.3760038;-41.43763889;10.9028;8.351;4350;TOI-1130 c;8.350231;13.32;1.188;654;;;
3385;2;GO;2;TOI-1130b;transit;TOI-1130;1130;286.3760038;-41.43763889;10.9028;8.351;4350;TOI-1130 b;4.07445;3.56;0.318;831;;;
3385;2;GO;3;TOI-1130 c;transit;TOI-1130;1130;286.3760038;-41.43763889;10.9028;8.351;4350;TOI-1130 c;8.350231;13.32;1.188;654;;;
3385;2;GO;4;TOI 1130 b;transit;TOI-1130;1130;286.3760038;-41.43763889;10.9028;8.351;4350;TOI-1130 b;4.07445;3.56;0.318;831;;;
3557;2;GO;4;NIRISS;transit;LTT 3780;732;154.644855;-11.71783611;11.8465;8.204001;3360;LTT 3780 c;12.252196;2.33;0.208;361;;;
3557;2;GO;5;G395H;transit;LTT 3780;732;154.644855;-11.71783611;11.8465;8.204001;3360;LTT 3780 c;12.252196;2.33;0.208;361;;;
3557;2;GO;6;MIRI;transit;LTT 3780;732;154.644855;-11.71783611;11.8465;8.204001;3360;LTT 3780 c;12.252196;2.33;0.208;361;;;
3557;2;GO;1;NIRISS;transit;TOI-1231;1231;156.7472396;-52.46782222;11.36;8.069;3553;TOI-1231 b;24.245586;3.65;0.326;331;;;
3557;2;GO;2;G395H;transit;TOI-1231;1231;156.7472396;-52.46782222;11.36;8.069;3553;TOI-1231 b;24.245586;3.65;0.326;331;;;
3557;2;GO;3;MIRI;transit;TOI-1231;1231;156.7472396;-52.46782222;11.36;8.069;3553;TOI-1231 b;24.245586;3.65;0.326;331;;;
3557;2;GO;7;NIRISS;transit;TOI-1468;1468;16.65386625;19.22488889;12.1172;8.497;3496;TOI-1468 c;15.532482;2.064;0.184;;;;
3557;2;GO;8;G395H;transit;TOI-1468;1468;16.65386625;19.22488889;12.1172;8.497;3496;TOI-1468 c;15.532482;2.064;0.184;;;;
3557;2;GO;9;MIRI;transit;TOI-1468;1468;16.65386625;19.22488889;12.1172;8.497;3496;TOI-1468 c;15.532482;2.064;0.184;;;;
3557;2;GO;12;MIRI;transit;TOI-270;270;68.41609917;-51.95743056;11.6306;8.251;3506;TOI-270 d;11.379573;2.133;0.19;388;;;
3615;2;GO;1;WASP-47e - G395H;eclipse;WASP-47;4539;331.2030942;-12.01907222;11.7889;10.192;5552;WASP-47 e;0.7895933;1.808;0.161;2210;;;
3615;2;GO;2;WASP-47e - G395H;eclipse;WASP-47;4539;331.2030942;-12.01907222;11.7889;10.192;5552;WASP-47 e;0.7895933;1.808;0.161;2210;;;
3712;2;GO;1;NIRSpec/G395H WASP-69b;transit;WASP-69;5823;315.0259663;-5.094858333;9.48466;7.459;4700;WASP-69 b;3.86814;12.442;1.11;988;;;
3712;2;GO;2;NIRSpec/G395H WASP-69b;transit;WASP-69;5823;315.0259663;-5.094858333;9.48466;7.459;4700;WASP-69 b;3.86814;12.442;1.11;988;;;
3730;2;GO;1;GJ-3473_1;eclipse;GJ 3473;488;120.5935504;3.337111111;12.465;8.829001;3347;GJ 3473 b;1.1980035;1.264;0.113;768;;;
3730;2;GO;2;GJ-3473_2;eclipse;GJ 3473;488;120.5935504;3.337111111;12.465;8.829001;3347;GJ 3473 b;1.1980035;1.264;0.113;768;;;
3730;2;GO;3;GJ-3473_3;eclipse;GJ 3473;488;120.5935504;3.337111111;12.465;8.829001;3347;GJ 3473 b;1.1980035;1.264;0.113;768;;;
3730;2;GO;4;GJ-3473_4;eclipse;GJ 3473;488;120.5935504;3.337111111;12.465;8.829001;3347;GJ 3473 b;1.1980035;1.264;0.113;768;;;
3730;2;GO;5;GJ-357_1;eclipse;GJ 357;562;144.007485;-21.6652;9.88036;6.475;3505;GJ 357 b;3.9306;1.2;0.107;519;;;
3730;2;GO;6;HD-260655_1;eclipse;HD 260655;4599;99.29143167;17.56631667;8.876041;5.862;3803;HD 260655 b;2.76953;1.24;0.111;710;;;
3730;2;GO;7;HD-260655_2;eclipse;HD 260655;4599;99.29143167;17.56631667;8.876041;5.862;3803;HD 260655 b;2.76953;1.24;0.111;710;;;
3730;2;GO;8;L-98-59_1;eclipse;L 98-59;175;124.5334728;-68.3152782;10.5976;7.101;3412;L 98-59 c;3.6906745;1.34;0.12;515;;;
3730;2;GO;9;LHS-1140_1;eclipse;LHS 1140;256;11.24867792;-15.27419167;12.6706;8.821;2988;LHS 1140 c;3.77792;1.169;0.104;399;;;
3730;2;GO;10;LHS-1140_2;eclipse;LHS 1140;256;11.24940225;-15.275502;12.6706;8.821;2988;LHS 1140 c;3.77792;1.169;0.104;399;;;
3730;2;GO;11;LHS-1140_3;eclipse;LHS 1140;256;11.24867792;-15.27419167;12.6706;8.821;2988;LHS 1140 c;3.77792;1.169;0.104;399;;;
3730;2;GO;12;LHS-1478_1;eclipse;LHS 1478;1640;44.34593193;76.55045548;12.2598;8.767;3381;LHS 1478 b;1.9495378;1.242;0.111;600;;;
3730;2;GO;13;LHS-1478_2;eclipse;LHS 1478;1640;44.34579098;76.55047445;12.2598;8.767;3381;LHS 1478 b;1.9495378;1.242;0.111;600;;;
3730;2;GO;14;LTT-3780_1;eclipse;LTT 3780;732;154.644855;-11.71783611;11.8465;8.204001;3360;LTT 3780 b;0.76837883;1.32;0.118;908;;;
3730;2;GO;15;LTT-3780_2;eclipse;LTT 3780;732;154.644855;-11.71783611;11.8465;8.204001;3360;LTT 3780 b;0.76837883;1.32;0.118;908;;;
3730;2;GO;16;TOI-1468_1;eclipse;TOI-1468;1468;16.65376833;19.22439922;12.1172;8.497;3496;TOI-1468 b;1.8805136;1.28;0.114;;;;
3730;2;GO;17;TOI-1468_2;eclipse;TOI-1468;1468;16.65376827;19.2243989;12.1172;8.497;3496;TOI-1468 b;1.8805136;1.28;0.114;;;;
3730;2;GO;18;TOI-1468_3;eclipse;TOI-1468;1468;16.65376667;19.22439093;12.1172;8.497;3496;TOI-1468 b;1.8805136;1.28;0.114;;;;
3730;2;GO;19;L-231-32_1;eclipse;TOI-270;270;68.41640362;-51.95803983;11.6306;8.251;3506;TOI-270 b;3.3601538;1.206;0.108;583;;;
3730;2;GO;20;L-231-32_2;eclipse;TOI-270;270;68.41640293;-51.95803845;11.6306;8.251;3506;TOI-270 b;3.3601538;1.206;0.108;583;;;
3730;2;GO;21;L-231-32_3;eclipse;TOI-270;270;68.41640258;-51.95803776;11.6306;8.251;3506;TOI-270 b;3.3601538;1.206;0.108;583;;;
3730;2;GO;22;L-231-32_4;eclipse;TOI-270;270;68.41640189;-51.95803638;11.6306;8.251;3506;TOI-270 b;3.3601538;1.206;0.108;583;;;
3731;2;GO;1;;transit;TOI-3235;3235;207.4738488;-46.06651389;14.4858;10.819;3388.8;TOI-3235 b;2.59261842;11.4;1.017;604;;;
3784;2;GO;1;;phase;TOI-2445;2445;43.31629169;0.05227882453;14.3977;10.779;3333;TOI-2445 b;0.3711281;1.25;0.112;1044;;;
3838;2;GO;5;HAT-P-30 transit;transit;HAT-P-30;490;123.9498429;5.836866667;10.2998;9.151;6304;HAT-P-30 b;2.8106;16.141;1.44;1700;;;
3838;2;GO;2;KELT-7 transit;transit;KELT-7;1682;78.29561963;33.31784048;8.45173;7.543;6768;KELT-7 b;2.73477;17.934;1.6;2090;;;
3838;2;GO;3;NGTS-2 transit;transit;NGTS-2;1934;215.1227617;-31.20206944;10.8605;9.799;6478;NGTS-2 b;4.511164;17.878;1.595;1623;;;
3838;2;GO;1;TRES-4 transit;transit;TrES-4;2124;268.3043363;37.21173889;11.4731;10.33;6200;TrES-4 b;3.55395;18.046;1.61;1708;;;
3838;2;GO;4;WASP-15 transit;transit;WASP-15;820;208.9280344;-32.15976117;10.797;9.693;6300;WASP-15 b;3.7521;15.805;1.41;1626;;;
3860;2;GO;1;toi561_phasecurve1;phase;TOI-561;561;148.1851517;6.216102778;10.0128;8.394;5372;TOI-561 b;0.4465688;1.425;0.127;2306;;;
3942;2;GO;1;;transit;L 98-59;175;124.5334718;-68.31527721;10.5976;7.101;3415;L 98-59 b;2.2531136;0.85;0.076;609;;;
3942;2;GO;2;;transit;L 98-59;175;124.5334727;-68.31527837;10.5976;7.101;3415;L 98-59 b;2.2531136;0.85;0.076;609;;;
3942;2;GO;3;;transit;L 98-59;175;124.5334732;-68.31527896;10.5976;7.101;3415;L 98-59 b;2.2531136;0.85;0.076;609;;;
3942;2;GO;4;;transit;L 98-59;175;124.5334758;-68.31528245;10.5976;7.101;3415;L 98-59 b;2.2531136;0.85;0.076;609;;;
3969;2;GO;4;Prism transit 1;transit;HAT-P-65;5818;315.9054896;11.98936667;12.9952;11.528;5872;HAT-P-65 b;2.60544751;18.058;1.611;1820;;;
3969;2;GO;6;Prism transit 2;transit;HAT-P-65;5818;315.9054896;11.98936667;12.9952;11.528;5872;HAT-P-65 b;2.60544751;18.058;1.611;1820;;;
3969;2;GO;1;Prism transit 1;transit;Kepler-12;2175;286.2434458;50.04036667;13.3596;12.066;5947;Kepler-12 b;4.4379629;19.661;1.754;1484;;;
3969;2;GO;5;Prism transit 2;transit;Kepler-12;2175;286.2434458;50.04036667;13.3596;12.066;5947;Kepler-12 b;4.4379629;19.661;1.754;1484;;;
3969;2;GO;3;G395H transit;transit;WASP-52;;348.4947768;8.760975798;11.9537;10.086;5000;WASP-52 b;1.7497798;14.24;1.27;1299;;;
4008;2;GO;1;LHS3844b - G395H;phase;LHS 3844;136;340.4963346;-69.17220833;13.3925;9.145001;3036;LHS 3844 b;0.46292913;1.303;0.116;809;;;
4082;2;GO;1;Transit;transit;WASP-96;247;1.046569583;-47.36063611;12.3833;10.914;5540;WASP-96 b;3.4252602;13.45;1.2;1286;;;
4098;2;GO;12;SOSS;transit;GJ 3090;177;20.43804853;-46.71490945;10.5521;7.294;3556;GJ 3090 b;2.8531054;2.13;0.19;695;;;
4098;2;GO;13;G395H;transit;GJ 3090;177;20.43806399;-46.71490181;10.5521;7.294;3556;GJ 3090 b;2.8531054;2.13;0.19;695;;;
